"BaseIdentifier","Action","FolderName","KeptFolder","Status","Error"
"zx_Jet_Set_Willy","DELETE","zx_Jet_Set_Willy_1984_Software_Projects_t","zx_Jet_Set_Willy_1984_Software_Projects","Deleted",""
"zx_Jet_Set_Willy","DELETE","zx_Jet_Set_Willy_1984_Software_Projects_t_a","zx_Jet_Set_Willy_1984_Software_Projects","Deleted",""
"zx_Jet_Set_Willy","DELETE","zx_Jet_Set_Willy_II_The_Final_Frontier_1985_Software_Projects","zx_Jet_Set_Willy_1984_Software_Projects","Deleted",""
"zx_Jet_Set_Willy","DELETE","zx_Jet_Set_Willy_II_The_Final_Frontier_1985_Software_Projects_a","zx_Jet_Set_Willy_1984_Software_Projects","Deleted",""
"zx_Jet_Set_Willy","DELETE","zx_Jet_Set_Willy_II_The_Final_Frontier_1985_Software_Projects_end","zx_Jet_Set_Willy_1984_Software_Projects","Deleted",""
"d64_Ormus_Saga_II","DELETE","d64_Ormus_Saga_II_The_Guild_of_Death_Documentation_1992_Mike_Doran_Software","d64_Ormus_Saga_II_The_Guild_of_Death_1993_Mike_Doran_Software_Disk_1_of_3_Side_A","Deleted",""
"zx_Castle_Master_II","DELETE","zx_Castle_Master_II_The_Crypt_1990_Incentive_Software_a","zx_Castle_Master_II_The_Crypt_1990_Incentive_Software","Deleted",""
"a8b_Protector_1989_Mastertronic","DELETE","a8b_Protector_1989_Mastertronic_GB_cr_Mr._Bacardi_k_file","a8b_Protector_1989_Mastertronic_GB_cr_L.K._Safari_k_file","Deleted",""
"zx_Bulge_The_1985","DELETE","zx_Bulge_The_1985_MC_Lothlorien_a","zx_Bulge_The_1985_MC_Lothlorien","Deleted",""
"zx_Transylvanian_Tower_1982","DELETE","zx_Transylvanian_Tower_1982_Richard_Shepherd_Software_a","zx_Transylvanian_Tower_1982_Richard_Shepherd_Software","Deleted",""
"zx_Transylvanian_Tower_1982","DELETE","zx_Transylvanian_Tower_1982_Richard_Shepherd_Software_a2","zx_Transylvanian_Tower_1982_Richard_Shepherd_Software","Deleted",""
"zx_Top_Cat_in","DELETE","zx_Top_Cat_in_Beverly_Hills_Cats_1991_Hi_Tec_Software_a","zx_Top_Cat_in_Beverly_Hills_Cats_1991_Hi_Tec_Software","Deleted",""
"a8b_Snowball_1983_Level","DELETE","a8b_Snowball_1983_Level_9_Computing_GB_b_playable_k_file","a8b_Snowball_1983_Level_9_Computing_GB_b_playable_a_k_file","Deleted",""
"a8b_Snowball_1983_Level","DELETE","a8b_Snowball_1983_Level_9_Computing_GB_text_version","a8b_Snowball_1983_Level_9_Computing_GB_b_playable_a_k_file","Deleted",""
"zx_Subbuteo_The_Computer","DELETE","zx_Subbuteo_The_Computer_Game_1990_Electronic_Zoo_128K","zx_Subbuteo_The_Computer_Game_1990_Electronic_Zoo","Deleted",""
"a8b_Juice_1983_Tronix","DELETE","a8b_Juice_1983_Tronix_US_k_file","a8b_Juice_1983_Tronix_US_a_k_file","Deleted",""
"zx_Software_Star_1984","DELETE","zx_Software_Star_1984_Addictive_Games_a","zx_Software_Star_1984_Addictive_Games","Deleted",""
"zx_Hacker_II_The","DELETE","zx_Hacker_II_The_Doomsday_Papers_1987_Activision_a","zx_Hacker_II_The_Doomsday_Papers_1987_Activision","Deleted",""
"a8b_One_on_One","DELETE","a8b_One_on_One_1983_Electronic_Arts_US_a2_k_file","a8b_One_on_One_1983_Electronic_Arts_US_a_k_file","Deleted",""
"a8b_One_on_One","DELETE","a8b_One_on_One_1983_Electronic_Arts_US_k_file","a8b_One_on_One_1983_Electronic_Arts_US_a_k_file","Deleted",""
"zx_Race_The_1990","DELETE","zx_Race_The_1990_Players_Premier_Software_a","zx_Race_The_1990_Players_Premier_Software","Deleted",""
"zx_Icicle_Works_1985","DELETE","zx_Icicle_Works_1985_Statesoft_a","zx_Icicle_Works_1985_Statesoft","Deleted",""
"zx_Icicle_Works_1985","DELETE","zx_Icicle_Works_1985_Statesoft_a2","zx_Icicle_Works_1985_Statesoft","Deleted",""
"zx_Typhoon_1988_Ocean","DELETE","zx_Typhoon_1988_Ocean_a_128K","zx_Typhoon_1988_Ocean_128K","Deleted",""
"zx_Typhoon_1988_Ocean","DELETE","zx_Typhoon_1988_Ocean_a2_128K","zx_Typhoon_1988_Ocean_128K","Deleted",""
"zx_Overlander_1988_Elite","DELETE","zx_Overlander_1988_Elite_Systems_128K","zx_Overlander_1988_Elite_Systems","Deleted",""
"zx_Overlander_1988_Elite","DELETE","zx_Overlander_1988_Elite_Systems_a","zx_Overlander_1988_Elite_Systems","Deleted",""
"zx_After_the_War","DELETE","zx_After_the_War_1989_Dinamic_Software_es_Part_1_of_2_a","zx_After_the_War_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
"zx_After_the_War","DELETE","zx_After_the_War_1989_Dinamic_Software_es_Part_1_of_2_a2","zx_After_the_War_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
"zx_After_the_War","DELETE","zx_After_the_War_1989_Dinamic_Software_es_Part_1_of_2_a3","zx_After_the_War_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
"zx_After_the_War","DELETE","zx_After_the_War_1989_Dinamic_Software_es_Part_2_of_2","zx_After_the_War_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
"zx_After_the_War","DELETE","zx_After_the_War_1989_Dinamic_Software_es_Part_2_of_2_a","zx_After_the_War_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
"zx_After_the_War","DELETE","zx_After_the_War_1989_Dinamic_Software_es_Part_2_of_2_a2","zx_After_the_War_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
"zx_After_the_War","DELETE","zx_After_the_War_1989_Dinamic_Software_es_Part_2_of_2_a3","zx_After_the_War_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
"zx_After_the_War","DELETE","zx_After_the_War_1989_Dinamic_Software_Part_1_of_2","zx_After_the_War_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
